rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,target_bin_id,bin_step,status,target_bin_array,target_bin_array_index,target_bin_index,wsol_side,target_bin_amount_x,target_bin_amount_y,target_bin_liquidity_supply,target_bin_open_order_amount,target_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,wsol_is_cheap_for_arbers,token_volume_24h_usd
38,HYyRsKUPUMeTzmDiYssqCHdYdYHxjkQvf9nS81DEXy3U,STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,So11111111111111111111111111111111111111112,STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,STREAM,-135,-136,100,0,2ATyzEL8u1X9ew1n6bDZ4N6mygsbAgXrPnR1BWyRYvKk,-2,4,y,0,0,0,0,true,16.792069000000,0.007321618000,0.007321618000,1.320568,0.000258400390,0.000077760068,27.138594,90.182832,-6991,true,925.928717
39,2U4pznjzSe6M82CFmsyt5vUhn2sP2HmQdpTzGra1cyRb,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,396,395,80,0,pSDm9z2WSiZ2fLqwJU3hc1vvdSbbiApb6Gr3zkHiFbp,5,45,y,0,0,0,0,true,0.384792000000,0.006895402000,0.006895402000,1.243694,0.023276098333,0.007010871073,27.163496,90.182832,-6988,true,6471273.865592
40,7Rmj8zCGF4C58nHejp6m7eb6c5fRkgTrzGx4QCNaH2FK,STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,So11111111111111111111111111111111111111112,STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,STREAM,-54,-55,250,0,Hdfs5P3rWVLccnRMeB2raTpxxTxRSZEwmnRWrHFBxTRK,-1,15,y,0,0,0,0,true,414.468284000000,0.082353635000,0.082353635000,14.853768,0.000257150518,0.000077760068,27.270500,90.182832,-6976,true,925.928717
41,2MbpKts6r2TYXuSQtEurKEsxkf3Ym6QAPjumrVZbZmU7,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,So11111111111111111111111111111111111111112,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,FRAG,-242,-243,400,0,ADMQHfUjD8wtCX8Ay5bPK38qPYeoJELytWvFX5CXbPAa,-4,37,y,0,0,0,0,true,16826.756121801998,0.067918571000,0.067918571000,12.250178,0.000072593636,0.000023866136,29.648821,90.182832,-6712,true,2958.379511
42,4zuK6Nrg8JgDqeKhnpRiGVdmP8PEUaQvvX6tSwu9Kxyt,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,So11111111111111111111111111111111111111112,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,FRAG,-958,-959,100,0,JGjjUsniGrSUc4J23jb9PM2QSF8U2wEghpKVUPMn2gK,-14,21,y,0,0,0,0,true,87954.819853503999,0.077710688000,0.077710688000,14.016340,0.000071746801,0.000023866136,29.998769,90.182832,-6674,true,2958.379511
43,CSKmszSiR1Gy9P3L7eqFQK9GZL7uAKLkdguSEvh9C5vU,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-3647,-3648,10,0,BgRqFwbGjepDNDaejD5nNUEJi1z1Djt8WbsiynzPcEHd,-53,62,y,0,0,0,0,true,18.199050900000,0.049653927000,0.049653927000,8.955864,0.002609067743,0.000868547940,30.021495,90.182832,-6671,true,519913.818218
44,9rRnKpyn5ZyEjZfe92UVvYFhAr5DyPoJ5p2D6AqEdzCh,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,So11111111111111111111111111111111111111112,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,DRIFT,495,494,20,0,H7ZUwrr53hXtq8Q12SMokVhb5iiENVELE8qxP8eFupwE,7,4,y,0,0,0,0,true,6.941320000000,0.026210245000,0.026210245000,4.727428,0.002683208595,0.000942944442,31.692430,90.182832,-6486,true,30231.600730
45,8G9HNaMUk6gNRe5o7TDxTwwavRgFKzAtVdd54w82vum7,So11111111111111111111111111111111111111112,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,246,247,25,0,B5BjLgQ9EcmxT8LoY7FvA9hsvfg43suhzykZt16guGQ3,3,37,x,0,0,0,0,true,0.426242231000,13476.107067999999,0.426242231000,76.879463,1852.858180046076,5215.009911331140,32.041358,90.182832,-6447,true,185879.161908
46,HU3EkcDbWmuSDvueTUAvXdYy1sj7WgoLre5Z1hqMRSw,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,So11111111111111111111111111111111111111112,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,8141,8140,2,0,GhSiFS3w9LZLZnrkF99fAXjEDvemJXRzt7wz7SHQYd9h,116,20,y,0,0,0,0,true,11.977172000000,0.046564868000,0.046564868000,8.398703,0.005092848097,0.001816505401,32.166206,90.182832,-6433,true,4578765.953528
47,DEk6hUoP4v4SZQuirF1zBqg5sraKXCd9ehQGwzqpHcUZ,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-1867,-1868,20,0,7qotd4UW5awZ4FoduLNzVa4V5jnLhCUinFVhL1rXQJNJ,-27,22,y,0,0,0,0,true,21.495721100000,0.045565567000,0.045565567000,8.218464,0.002393845843,0.000868547940,32.720617,90.182832,-6372,true,519913.818218
48,2PNwYboAuBV6PJhRj4L43VfvgAmo85BbUCSDFC9BiW7R,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,So11111111111111111111111111111111111111112,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,37,36,100,0,EBGwizyQbg2s4n4k3XebfDaABEdsrYPdveBw5EMXBatN,0,36,y,0,0,0,0,true,2.144840000000,0.011206659000,0.011206659000,2.021296,0.001430768784,0.000522001586,32.902298,90.182832,-6352,true,99654.188229
49,4YZ92Dctq4bWubtpEcWgPnrEscei8Pw1RbgAxTKmQFEn,BMBtwz6LFDJVJd2aZvL5F64fdvWP3RPn4NP5q9Xe15UD,So11111111111111111111111111111111111111112,BMBtwz6LFDJVJd2aZvL5F64fdvWP3RPn4NP5q9Xe15UD,BMB,-885,-886,100,0,5N8ZRiNA17jRRXmhzW76RojeVv2ghhb5xpZSTxwm4QvK,-13,24,y,0,0,0,0,true,1624.850639357000,0.245651376000,0.245651376000,44.307074,0.000148341555,0.000054541544,33.158011,90.182832,-6323,true,336.205180
50,CYhTPnm2HKzGxytki9b6BZf8ukLd2CTrvWtMywPFZfW7,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-380,-381,100,0,65BiGWbCGEVE8LpJvYW5yTmYEAQQsySi2SKoU9ZYFj4S,-6,39,y,0,0,0,0,true,6.106223930000,0.015661247000,0.015661247000,2.824751,0.002257130082,0.000868547940,34.702525,90.182832,-6152,true,519913.818218
