rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,bin_step,status,active_bin_array,active_bin_array_index,active_bin_index,wsol_side,active_bin_amount_x,active_bin_amount_y,active_bin_liquidity_supply,active_bin_open_order_amount,active_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,token_volume_24h_usd
28,GdxwTrNwFZZ5xPxvf2zYUVDrax8hbF8MKgP7KYix3guh,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,296,80,0,2tkfXjskxseXmNKFz8YoJrXu8Z4MJZqqzYS4YE2NGzNF,4,16,y,0,0,0,0,true,0.402215000000,0.006152222000,0.006152222000,1.109650,0.010575904108,0.001285532842,10.961994,90.182832,-8784,140302.512301
29,B5X3rjuLN8Midd7vyCQmT8u3zdRgfMh1apXHMneXfJDW,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,75,50,0,7vETxcxaRqd8VKrcdQdp8LRvjKCi1otsPyPFEKJFfaXh,1,5,y,0,0,0,0,true,15.934600000000,0.025167563000,0.025167563000,4.539364,0.001453632525,0.000180984776,11.228230,90.182832,-8755,249402.599752
30,5bopzb2NHjVj4qJWFqWZd1SkbGUBcebJd61FXEcbayY7,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,So11111111111111111111111111111111111111112,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,aura,-34,80,0,561TNGRCWRidzTb2uqoEY83ficWWEAoat6WxVfx7HYSK,-1,36,y,0,0,0,0,true,514.761638000000,0.415690490000,0.415690490000,74.976292,0.000762679210,0.000095610267,11.305415,90.182832,-8746,683236.387113
31,6m94PPAQ1d5fDziwHGVXCpzvbTLn39iPZypRiMcrwsen,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,441,8,0,4BJbKMg7sB7tWQo2tdYdr8Aorvk6RjgqdvMxuE1ZW6kz,6,21,y,0,0,0,0,true,7.339472000000,0.011253040000,0.011253040000,2.029662,0.001422845807,0.000180984776,11.471180,90.182832,-8728,249402.599752
32,F7wzraGdrhrHAqKF5Ujav92kHmTCGW6g4Dqcnp9baE6J,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,95,20,0,AErAiZVi3pt2WuxxxQjFFhKHF9PArY8yHV6i3efnFfau,1,25,y,0,0,0,0,true,17.635926000000,0.019667935000,0.019667935000,3.547420,0.001209020168,0.000154957110,11.558509,90.182832,-8718,379555.116543
33,GQCtxJo7tTCprRLssJ3NWG6NhD24TUu7a6ZaoFauuXe5,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,116,200,0,ChWmJXfYb3WbYYDBNtbgSVY3hq7T1Xwh9QML9XEfZZGj,1,46,y,0,0,0,0,true,239.906558000000,0.344307101000,0.344307101000,62.101179,0.009945346630,0.001285838611,11.659781,90.182832,-8707,204072.838182
34,C9UkNKU61484emQTEwVj9qMU1ZWXdzMUBErjaaa32Rrg,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,22,150,0,Hd5JBF1PAwX5hY6M2BgGm4THbtsbCi95fntKMa87WD7J,0,22,y,0,0,0,0,true,19.768432000000,0.014834009000,0.014834009000,2.675546,0.001387563699,0.000180984776,11.762862,90.182832,-8696,249402.599752
35,EdFR8cuxVxuxxizTv9uRn4bPpK9h9g8k11fFhzVZFr8w,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,32,100,0,5fCjgTF2owr5DVinfFoshzupeFPneA9VbqNhypBgFPzk,0,32,y,0,0,0,0,true,4.360396000000,0.005562324000,0.005562324000,1.003252,0.001374940679,0.000180984776,11.870854,90.182832,-8684,249402.599752
36,Er5GcCKD3bBcxRRf7v99qFQEk5iDUr6orGtA55t4Z6uY,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,9,125,0,FgcUJ9tDGi9MfySBd8xbxq1Z4M3XbQvYgMSNFt366Sxo,0,9,y,0,0,0,0,true,0.001937000000,0.182041361000,0.182041361000,32.834011,0.001118292177,0.000154957110,12.496261,90.182832,-8614,379555.116543
37,Edmecia8TZTVpvLmNBy2TfuRhVMWrZcKaob4Qa6BvQb7,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,So11111111111111111111111111111111111111112,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,1672,16,0,FYRn6q44JJifhhcPhZrC2B82bJ3WDVkonT8TFZVkPKTc,23,62,y,0,0,0,0,true,0.516310000000,0.008591968000,0.008591968000,1.549696,0.014484253881,0.002011112031,12.521721,90.182832,-8612,1285107.307769
